zip,city,state,numbers
13905,Binghamton,NY,10
13073,Groton,NY,398
53715,Madison,WI,18
53546,Janesville,WI,466
08619,Trenton,NJ,103
08036,Hainesport,NJ,218
08609,Trenton,NJ,122
08234,Egg Harbor Township,NJ,11
08406,Ventnor City,NJ,10
18109,Allentown,PA,170
19041,Haverford,PA,2087
19086,Wallingford,PA,963
19465,Pottstown,PA,7
19380,West Chester,PA,232
19444,Lafayette Hill,PA,36
19601,Reading,PA,2
19473,Schwenksville,PA,1
19311,Avondale,PA,6
19333,Devon,PA,141
55430,Minneapolis,MN,7057
43054,New Albany,OH,382
43222,Columbus,OH,78
43017,Dublin,OH,4
43228,Columbus,OH,4910
37203,Nashville,TN,51
37238,Nashville,TN,350
37206,Nashville,TN,95
48849,Lake Odessa,MI,82
49507,Grand Rapids,MI,618
49423,Holland,MI,28
48838,Greenville,MI,8
92132,San Diego,CA,631
91911,Chula Vista,CA,12
91804,Chula Vista,CA,27
91101,Pasadena,CA,43
91732,El Monte,CA,994
91746,La Puente,CA,3
60305,River Forest,IL,4778
60563,Naperville,IL,8
60506,Aurora,IL,1
11704,West Babylon,NY,9
11980,Yaphank,NY,1
11901,Riverhead,NY,443
63303,Saint Charles,MO,48
94066,San Bruno,CA,23
94402,San Mateo,CA,32
94040,Mountain View,CA,8
93305,Bakersfield,CA,8
30103,Adairsville,GA,295
89156,Las Vegas,NV,1440
22211,Fort Myer,VA,38
22307,Alexandria,VA,1260
28110,Monroe,NC,85
28677,Statesville,NC,109
28217,Charlotte,NC,126
28202,Charlotte,NC,1408
28152,Shelby,NC,89
28052,Gastonia,NC,68
28027,Concord,NC,543
30912,Augusta,GA,57
30165,Rome,GA,6
95401,Santa Rosa,CA,75
60104,Bellwood,IL,46
60501,Summit Argo,IL,4
60026,Glenview,IL,5084
60827,Riverdale,IL,10
60464,Palos Park,IL,2
60475,Steger,IL,4
60471,Richton Park,IL,12
77057,Houston,TX,6
77098,Houston,TX,65
77008,Houston,TX,216
